frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1745911186.880679000",,,,,,,"0","1","443","1","1",,,,
"1745911186.881675000",,,,,,,"0","1","443","1","1",,,,
"1745911187.324586000",,,,,,,"0","1","33506","1","289",,,,
"1745911187.324586000",,,,,,,"0","1","33506","2757","289",,,,
"1745911187.325556000",,,,,,,"0","1","443","289","1379",,,,
"1745911187.325556000",,,,,,,"0","1","443","289","2757",,,,
"1745911187.325592000",,,,,,,"0","1","443","289","3682",,,,
"1745911187.326947000",,,,,,,"0","1","443","289","3682",,,,
"1745911187.327491000",,,,,,,"0","1","443","369","3682",,,,
"1745911187.454246000",,,,,,,,,,,,,,,
"1745911187.459159000",,,,,,,,,,,,,,,
"1745911187.459261000",,,,,,,,,,,,,,,
"1745911187.459748000",,,,,,,,,,,,,,,
"1745911187.696555000",,,,,,,"0","1","33506","2757","289",,,,
"1745911187.696556000",,,,,,,"0","1","33506","3682","369",,,,
"1745911187.696556000",,,,,,,"0","1","33506","3985","1036",,,,
"1745911187.696556000",,,,,,,"0","1","33506","6741","1036",,,,
"1745911187.696556000",,,,,,,"0","1","33506","9497","1036",,,,
"1745911187.696618000",,,,,,,"0","1","33506","12253","1036",,,,
"1745911187.697204000",,,,,,,"0","1","443","1036","3682",,,,
"1745911187.697364000",,,,,,,"0","1","443","1036","3985",,,,
"1745911187.697585000",,,,,,,"0","1","443","1036","5363",,,,
"1745911187.698053000",,,,,,,"0","1","443","1036","6741",,,,
"1745911187.698272000",,,,,,,"0","1","443","1036","12253",,,,
"1745911187.698708000",,,,,,,"0","1","443","1036","13631",,,,
"1745911187.699005000",,,,,,,"0","1","443","1036","15009",,,,
"1745911187.699525000",,,,,,,"0","1","33506","15009","1036",,,,
"1745911187.699849000",,,,,,,"0","1","443","1036","16387",,,,
"1745911187.700346000",,,,,,,"0","1","443","1036","17765",,,,
"1745911187.721328000",,,,,,,"0","1","33506","17765","1036",,,,
"1745911187.722059000",,,,,,,"0","1","443","1036","19143",,,,
"1745911187.722578000",,,,,,,"0","1","443","1036","20521",,,,
"1745911187.849264000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911187.849267000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911187.918142000",,,,,,,"0","1","33506","20521","1036",,,,
"1745911187.918773000",,,,,,,"0","1","443","1036","21899",,,,
"1745911187.930090000",,,,,,,"0","1","33506","21899","1036",,,,
"1745911187.930523000",,,,,,,"0","1","443","1036","23277",,,,
"1745911187.930840000",,,,,,,"0","1","443","1036","24655",,,,
"1745911187.969855000",,,,,,,"0","1","33506","24655","1036",,,,
"1745911187.969855000",,,,,,,"0","1","33506","27411","1036",,,,
"1745911187.970614000",,,,,,,"0","1","443","1036","26033",,,,
"1745911187.970875000",,,,,,,"0","1","443","1036","27411",,,,
"1745911187.971172000",,,,,,,"0","1","443","1036","30167",,,,
"1745911187.973874000",,,,,,,"0","1","33506","30167","1036",,,,
"1745911187.974412000",,,,,,,"0","1","443","1036","31545",,,,
"1745911187.974726000",,,,,,,"0","1","443","1036","32923",,,,
"1745911187.992575000",,,,,,,"0","1","33506","32923","1036",,,,
"1745911187.993090000",,,,,,,"0","1","443","1036","34301",,,,
"1745911187.993505000",,,,,,,"0","1","443","1036","35679",,,,
"1745911188.002776000",,,,,,,"0","1","33506","35679","1036",,,,
"1745911188.003699000",,,,,,,"0","1","443","1036","37057",,,,
"1745911188.003699000",,,,,,,"0","1","443","1036","38435",,,,
"1745911188.022511000",,,,,,,"0","1","33506","38435","1036",,,,
"1745911188.023102000",,,,,,,"0","1","443","1036","39813",,,,
"1745911188.033128000",,,,,,,"0","1","443","1036","41191",,,,
"1745911188.033129000",,,,,,,"0","1","443","1036","42569",,,,
"1745911188.033129000",,,,,,,"0","1","33506","39813","1036",,,,
"1745911188.041688000",,,,,,,"0","1","33506","42569","1036",,,,
"1745911188.042144000",,,,,,,"0","1","443","1036","43947",,,,
"1745911188.042488000",,,,,,,"0","1","443","1036","45325",,,,
"1745911188.059842000",,,,,,,"0","1","33506","45325","1036",,,,
"1745911188.060309000",,,,,,,"0","1","443","1036","46703",,,,
"1745911188.060605000",,,,,,,"0","1","443","1036","48081",,,,
"1745911188.070541000",,,,,,,"0","1","33506","48081","1036",,,,
"1745911188.071062000",,,,,,,"0","1","443","1036","49459",,,,
"1745911188.071374000",,,,,,,"0","1","443","1036","50837",,,,
"1745911188.087132000",,,,,,,"0","1","33506","50837","1036",,,,
"1745911188.088154000",,,,,,,"0","1","443","1036","52215",,,,
"1745911188.088529000",,,,,,,"0","1","443","1036","53593",,,,
"1745911188.108293000",,,,,,,"0","1","33506","53593","1036",,,,
"1745911188.108776000",,,,,,,"0","1","443","1036","54971",,,,
"1745911188.108964000",,,,,,,"0","1","443","1036","56349",,,,
"1745911188.191772000",,,,,,,"0","1","33506","56349","1036",,,,
"1745911188.192314000",,,,,,,"0","1","443","1036","57727",,,,
"1745911188.196969000",,,,,,,"0","1","33506","57727","1036",,,,
"1745911188.196970000",,,,,,,"0","1","33506","60483","1036",,,,
"1745911188.197738000",,,,,,,"0","1","443","1036","59105",,,,
"1745911188.198084000",,,,,,,"0","1","443","1036","60483",,,,
"1745911188.198753000",,,,,,,"0","1","443","1036","63239",,,,
"1745911188.206599000",,,,,,,"0","1","33506","63239","1036",,,,
"1745911188.207346000",,,,,,,"0","1","443","1036","65995",,,,
"1745911188.218380000",,,,,,,"0","1","33506","65995","1036",,,,
"1745911188.219077000",,,,,,,"0","1","443","1036","68751",,,,
"1745911188.233736000",,,,,,,"0","1","33506","68751","1036",,,,
"1745911188.234453000",,,,,,,"0","1","443","1036","71507",,,,
"1745911188.245410000",,,,,,,"0","1","33506","71507","1036",,,,
"1745911188.246493000",,,,,,,"0","1","443","1036","72885",,,,
"1745911188.246493000",,,,,,,"0","1","443","1036","74263",,,,
"1745911188.263621000",,,,,,,"0","1","33506","74263","1036",,,,
"1745911188.264186000",,,,,,,"0","1","443","1036","75641",,,,
"1745911188.264528000",,,,,,,"0","1","443","1036","77019",,,,
"1745911188.270453000",,,,,,,"0","1","33506","77019","1036",,,,
"1745911188.271290000",,,,,,,"0","1","443","1036","78397",,,,
"1745911188.274681000",,,,,,,"0","1","33506","78397","1036",,,,
"1745911188.275245000",,,,,,,"0","1","443","1036","79775",,,,
"1745911188.275565000",,,,,,,"0","1","443","1036","81153",,,,
"1745911188.294025000",,,,,,,"0","1","33506","81153","1036",,,,
"1745911188.294288000",,,,,,,"0","1","443","1036","82531",,,,
"1745911188.294733000",,,,,,,"0","1","443","1036","83909",,,,
"1745911188.298590000",,,,,,,"0","1","33506","83909","1036",,,,
"1745911188.299133000",,,,,,,"0","1","443","1036","85287",,,,
"1745911188.299410000",,,,,,,"0","1","443","1036","86665",,,,
"1745911188.313926000",,,,,,,"0","1","33506","86665","1036",,,,
"1745911188.314263000",,,,,,,"0","1","443","1036","88043",,,,
"1745911188.314558000",,,,,,,"0","1","443","1036","89421",,,,
"1745911188.324954000",,,,,,,"0","1","33506","89421","1036",,,,
"1745911188.326061000",,,,,,,"0","1","443","1036","90799",,,,
"1745911188.326062000",,,,,,,"0","1","443","1036","92177",,,,
"1745911188.332984000",,,,,,,"0","1","33506","92177","1036",,,,
"1745911188.333535000",,,,,,,"0","1","443","1036","93555",,,,
"1745911188.333971000",,,,,,,"0","1","443","1036","94933",,,,
"1745911188.351411000",,,,,,,"0","1","33506","94933","1036",,,,
"1745911188.351619000",,,,,,,"0","1","33506","97689","1036",,,,
"1745911188.351888000",,,,,,,"0","1","443","1036","96311",,,,
"1745911188.352458000",,,,,,,"0","1","443","1036","97689",,,,
"1745911188.352620000",,,,,,,"0","1","443","1036","99067",,,,
"1745911188.353026000",,,,,,,"0","1","443","1036","100445",,,,
"1745911188.365761000",,,,,,,"0","1","33506","100445","1036",,,,
"1745911188.366077000",,,,,,,"0","1","443","1036","101823",,,,
"1745911188.366365000",,,,,,,"0","1","443","1036","103201",,,,
"1745911188.376019000",,,,,,,"0","1","33506","103201","1036",,,,
"1745911188.376841000",,,,,,,"0","1","443","1036","104579",,,,
