frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1746182617.132740000","210.220.163.82","192.168.45.101","198",,"32841","178",,,,,,"248",,,
"1746182617.135467000","192.168.45.101","203.251.233.147","60",,,,"1","0","80","0","0","64",,,
"1746182617.136861000","192.168.45.101","203.251.233.147","60",,,,"1","0","80","0","0","64",,,
"1746182617.143549000","203.251.233.147","192.168.45.101","60",,,,"1","1","51844","0","1","54",,,
"1746182617.143596000","192.168.45.101","203.251.233.147","52",,,,"0","1","80","1","1","64",,,
"1746182617.145491000","203.251.233.147","192.168.45.101","60",,,,"1","1","51852","0","1","54",,,
"1746182617.145513000","192.168.45.101","203.251.233.147","52",,,,"0","1","80","1","1","64",,,
"1746182617.150924000","192.168.45.101","203.251.233.147","491",,,,"0","1","80","1","1","64",,,
"1746182617.151177000","192.168.45.101","203.251.233.147","491",,,,"0","1","80","1","1","64",,,
"1746182617.163439000","203.251.233.147","192.168.45.101","52",,,,"0","1","51844","1","440","54",,,
"1746182617.163442000","203.251.233.147","192.168.45.101","52",,,,"0","1","51852","1","440","54",,,
"1746182617.163442000","203.251.233.147","192.168.45.101","941",,,,"0","1","51844","1","440","54",,,
"1746182617.163493000","192.168.45.101","203.251.233.147","52",,,,"0","1","80","440","890","64",,,
"1746182617.174281000","203.251.233.147","192.168.45.101","941",,,,"0","1","51852","1","440","54",,,
"1746182617.174331000","192.168.45.101","203.251.233.147","52",,,,"0","1","80","440","890","64",,,
"1746182617.193212000","192.168.45.101","34.160.144.191","151",,,,"0","1","443","314","3438","64",,,
"1746182617.193379000","192.168.45.101","34.160.144.191","310",,,,"0","1","443","413","3438","64",,,
"1746182617.193511000","192.168.45.101","34.160.144.191","90",,,,"0","1","443","671","3438","64",,,
"1746182617.201765000","192.168.45.101","34.160.144.191","168",,,,"0","1","443","314","3438","64",,,
"1746182617.202049000","192.168.45.101","34.160.144.191","179",,,,"0","1","443","709","3438","64",,,
"1746182617.202310000","192.168.45.101","34.160.144.191","83",,,,"0","1","443","430","3438","64",,,
"1746182617.202395000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","461","3438","64",,,
"1746182617.205319000","34.160.144.191","192.168.45.101","52",,,,"0","1","58664","3438","709","115",,,
"1746182617.205320000","34.160.144.191","192.168.45.101","90",,,,"0","1","58664","3438","709","115",,,
"1746182617.205321000","34.160.144.191","192.168.45.101","385",,,,"0","1","58664","3476","709","115",,,
"1746182617.205321000","34.160.144.191","192.168.45.101","1452",,,,"0","1","58664","3809","709","115",,,
"1746182617.205322000","34.160.144.191","192.168.45.101","1452",,,,"0","1","58664","5209","709","115",,,
"1746182617.205386000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","3476","64",,,
"1746182617.205473000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","3809","64",,,
"1746182617.205514000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","5209","64",,,
"1746182617.205550000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","6609","64",,,
"1746182617.216701000","34.160.144.191","192.168.45.101","2680",,,,"0","1","58664","6609","709","115",,,
"1746182617.216703000","34.160.144.191","192.168.45.101","98",,,,"0","1","58664","9237","709","115",,,
"1746182617.216703000","34.160.144.191","192.168.45.101","90",,,,"0","1","58680","3438","430","116",,,
"1746182617.216703000","34.160.144.191","192.168.45.101","52",,,,"0","1","58680","3476","462","116",,,
"1746182617.216703000","34.160.144.191","192.168.45.101","278",,,,"0","1","58664","9283","836","115",,,
"1746182617.216704000","34.160.144.191","192.168.45.101","1452",,,,"0","1","58664","9509","836","115",,,
"1746182617.216704000","34.160.144.191","192.168.45.101","1452",,,,"0","1","58664","10909","836","115",,,
"1746182617.216728000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","9237","64",,,
"1746182617.216818000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","9283","64",,,
"1746182617.216877000","192.168.45.101","34.160.144.191","40",,,,"0","0","443","430","0","64",,,
"1746182617.216927000","192.168.45.101","34.160.144.191","40",,,,"0","0","443","462","0","64",,,
"1746182617.216966000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","9509","64",,,
"1746182617.217028000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","10909","64",,,
"1746182617.217068000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","836","12309","64",,,
"1746182617.221034000","192.168.45.101","34.160.144.191","98",,,,"0","1","443","836","12309","64",,,
"1746182617.224200000","34.160.144.191","192.168.45.101","2684",,,,"0","1","58664","12309","836","115",,,
"1746182617.224254000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","882","14941","64",,,
"1746182617.253225000","34.160.144.191","192.168.45.101","52",,,,"0","1","58664","14941","882","115",,,
