frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1745912311.513225000","172.20.10.6","172.20.10.5","44",,,,"1","0","16113","0","0","56",,,
"1745912311.513257000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.513359000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.513490000","172.20.10.6","172.20.10.5","44",,,,"1","0","32781","0","0","53",,,
"1745912311.513519000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.513681000","172.20.10.6","172.20.10.5","44",,,,"1","0","3551","0","0","53",,,
"1745912311.513712000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.513858000","172.20.10.6","172.20.10.5","44",,,,"1","0","57797","0","0","54",,,
"1745912311.513889000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.514281000","172.20.10.6","172.20.10.5","44",,,,"1","0","6502","0","0","55",,,
"1745912311.514281000","172.20.10.6","172.20.10.5","44",,,,"1","0","1026","0","0","59",,,
"1745912311.514318000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.514440000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.514591000","172.20.10.6","172.20.10.5","44",,,,"1","0","32777","0","0","40",,,
"1745912311.514591000","172.20.10.6","172.20.10.5","44",,,,"1","0","5003","0","0","49",,,
"1745912311.514591000","172.20.10.6","172.20.10.5","44",,,,"1","0","5961","0","0","40",,,
"1745912311.514626000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.514736000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.514836000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.514969000","172.20.10.6","172.20.10.5","44",,,,"1","0","1085","0","0","46",,,
"1745912311.514999000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.515161000","172.20.10.6","172.20.10.5","44",,,,"1","0","9415","0","0","47",,,
"1745912311.515192000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.515362000","172.20.10.6","172.20.10.5","44",,,,"1","0","3995","0","0","42",,,
"1745912311.515362000","172.20.10.6","172.20.10.5","44",,,,"1","0","19350","0","0","40",,,
"1745912311.515394000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.515495000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.515614000","172.20.10.6","172.20.10.5","44",,,,"1","0","32782","0","0","57",,,
"1745912311.515642000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.515803000","172.20.10.6","172.20.10.5","44",,,,"1","0","8194","0","0","47",,,
"1745912311.515803000","172.20.10.6","172.20.10.5","44",,,,"1","0","19842","0","0","51",,,
"1745912311.515825000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.515901000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.516084000","172.20.10.6","172.20.10.5","44",,,,"1","0","9080","0","0","38",,,
"1745912311.516115000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.516277000","172.20.10.6","172.20.10.5","44",,,,"1","0","3880","0","0","52",,,
"1745912311.516307000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.516467000","172.20.10.6","172.20.10.5","44",,,,"1","0","32776","0","0","37",,,
"1745912311.516498000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.516662000","172.20.10.6","172.20.10.5","44",,,,"1","0","1001","0","0","44",,,
"1745912311.516662000","172.20.10.6","172.20.10.5","44",,,,"1","0","1052","0","0","39",,,
"1745912311.516694000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.516795000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.516957000","172.20.10.6","172.20.10.5","44",,,,"1","0","16016","0","0","45",,,
"1745912311.516988000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.517148000","172.20.10.6","172.20.10.5","44",,,,"1","0","1801","0","0","56",,,
"1745912311.517179000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.517341000","172.20.10.6","172.20.10.5","44",,,,"1","0","2725","0","0","57",,,
"1745912311.517371000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.518369000","172.20.10.6","172.20.10.5","44",,,,"1","0","2191","0","0","42",,,
"1745912311.518369000","172.20.10.6","172.20.10.5","44",,,,"1","0","8291","0","0","42",,,
"1745912311.518409000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.518549000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.518700000","172.20.10.6","172.20.10.5","44",,,,"1","0","83","0","0","50",,,
"1745912311.518701000","172.20.10.6","172.20.10.5","44",,,,"1","0","1104","0","0","55",,,
"1745912311.518724000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.518820000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.518952000","172.20.10.6","172.20.10.5","44",,,,"1","0","5001","0","0","47",,,
"1745912311.518982000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.519123000","172.20.10.6","172.20.10.5","44",,,,"1","0","1061","0","0","45",,,
"1745912311.519143000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.519322000","172.20.10.6","172.20.10.5","44",,,,"1","0","9929","0","0","49",,,
"1745912311.519363000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.519545000","172.20.10.6","172.20.10.5","44",,,,"1","0","20221","0","0","44",,,
"1745912311.519582000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.519760000","172.20.10.6","172.20.10.5","44",,,,"1","0","1077","0","0","56",,,
"1745912311.519761000","172.20.10.6","172.20.10.5","44",,,,"1","0","765","0","0","43",,,
"1745912311.519794000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.519882000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.520072000","172.20.10.6","172.20.10.5","44",,,,"1","0","1666","0","0","47",,,
"1745912311.520105000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.520252000","172.20.10.6","172.20.10.5","44",,,,"1","0","7800","0","0","52",,,
"1745912311.520283000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.521293000","172.20.10.6","172.20.10.5","44",,,,"1","0","6669","0","0","42",,,
"1745912311.521294000","172.20.10.6","172.20.10.5","44",,,,"1","0","5822","0","0","58",,,
"1745912311.521294000","172.20.10.6","172.20.10.5","44",,,,"1","0","481","0","0","47",,,
"1745912311.521294000","172.20.10.6","172.20.10.5","44",,,,"1","0","1047","0","0","40",,,
"1745912311.521353000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.521531000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.521647000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.521780000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.521943000","172.20.10.6","172.20.10.5","44",,,,"1","0","26","0","0","44",,,
"1745912311.521943000","172.20.10.6","172.20.10.5","44",,,,"1","0","1010","0","0","53",,,
"1745912311.521943000","172.20.10.6","172.20.10.5","44",,,,"1","0","1090","0","0","38",,,
"1745912311.521943000","172.20.10.6","172.20.10.5","44",,,,"1","0","5225","0","0","57",,,
"1745912311.521989000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.522116000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.522248000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.522352000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.522979000","172.20.10.6","172.20.10.5","44",,,,"1","0","51493","0","0","58",,,
"1745912311.522980000","172.20.10.6","172.20.10.5","44",,,,"1","0","35500","0","0","41",,,
"1745912311.522980000","172.20.10.6","172.20.10.5","44",,,,"1","0","5060","0","0","44",,,
"1745912311.522980000","172.20.10.6","172.20.10.5","44",,,,"1","0","1974","0","0","39",,,
"1745912311.523030000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.523168000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.523291000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.523522000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.523750000","172.20.10.6","172.20.10.5","44",,,,"1","0","3006","0","0","41",,,
"1745912311.523751000","172.20.10.6","172.20.10.5","44",,,,"1","0","23502","0","0","47",,,
"1745912311.523751000","172.20.10.6","172.20.10.5","44",,,,"1","0","32774","0","0","40",,,
"1745912311.523798000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.523946000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.524065000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.524259000","172.20.10.6","172.20.10.5","44",,,,"1","0","8800","0","0","57",,,
"1745912311.524259000","172.20.10.6","172.20.10.5","44",,,,"1","0","15742","0","0","46",,,
"1745912311.524302000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.524450000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.524661000","172.20.10.6","172.20.10.5","44",,,,"1","0","32","0","0","43",,,
"1745912311.524661000","172.20.10.6","172.20.10.5","44",,,,"1","0","1114","0","0","44",,,
"1745912311.524704000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.524844000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.525008000","172.20.10.6","172.20.10.5","44",,,,"1","0","12265","0","0","50",,,
"1745912311.525047000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.525277000","172.20.10.6","172.20.10.5","44",,,,"1","0","1718","0","0","43",,,
"1745912311.525277000","172.20.10.6","172.20.10.5","44",,,,"1","0","4126","0","0","55",,,
"1745912311.525321000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.525530000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.525866000","172.20.10.6","172.20.10.5","44",,,,"1","0","2522","0","0","50",,,
"1745912311.525866000","172.20.10.6","172.20.10.5","44",,,,"1","0","992","0","0","46",,,
"1745912311.525866000","172.20.10.6","172.20.10.5","44",,,,"1","0","7999","0","0","44",,,
"1745912311.525916000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.526064000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.526197000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.526393000","172.20.10.6","172.20.10.5","44",,,,"1","0","2135","0","0","59",,,
"1745912311.526393000","172.20.10.6","172.20.10.5","44",,,,"1","0","1105","0","0","56",,,
"1745912311.526433000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.526596000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.526781000","172.20.10.6","172.20.10.5","44",,,,"1","0","1032","0","0","55",,,
"1745912311.526781000","172.20.10.6","172.20.10.5","44",,,,"1","0","8002","0","0","57",,,
"1745912311.526826000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.526988000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.527185000","172.20.10.6","172.20.10.5","44",,,,"1","0","2001","0","0","44",,,
"1745912311.527185000","172.20.10.6","172.20.10.5","44",,,,"1","0","8011","0","0","40",,,
"1745912311.527229000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.527403000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.527587000","172.20.10.6","172.20.10.5","44",,,,"1","0","5414","0","0","44",,,
"1745912311.527588000","172.20.10.6","172.20.10.5","44",,,,"1","0","17877","0","0","56",,,
"1745912311.527637000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.527774000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
